price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,,,,,,,,street,city,,country
313000,3,1.5,1340,7912,1.5,,,,,,,,18810 Densmore Ave N,Shoreline,,USA
2384000,5,2.5,3650,9050,2,,,,,,,,709 W Blaine St,Seattle,,USA
342000,3,2,1930,11947,1,,,,,,,,26206-26214 143rd Ave SE,Kent,,USA
420000,3,2.25,2000,8030,1,,,,,,,,857 170th Pl NE,Bellevue,,USA
550000,4,2.5,1940,10500,1,,,,,,,,9105 170th Ave NE,Redmond,,USA
490000,2,1,880,6380,1,,,,,,,,522 NE 88th St,Seattle,,USA
335000,2,2,1350,2560,1,,,,,,,,2616 174th Ave NE,Redmond,,USA
482000,4,2.5,2710,35868,2,,,,,,,,23762 SE 253rd Pl,Maple Valley,,USA
452500,3,2.5,2430,88426,1,,,,,,,,46611-46625 SE 129th St,North Bend,,USA
640000,4,2,1520,6200,1.5,,,,,,,,6811 55th Ave NE,Seattle,,USA
463000,3,1.75,1710,7320,1,,,,,,,,Burke-Gilman Trail,Lake Forest Park,,USA
1400000,4,2.5,2920,4000,1.5,,,,,,,,3838-4098 44th Ave NE,Seattle,,USA
588500,3,1.75,2330,14892,1,,,,,,,,1833 220th Pl NE,Sammamish,,USA
365000,3,1,1090,6435,1,,,,,,,,2504 SW Portland Ct,Seattle,,USA
1200000,5,2.75,2910,9480,1.5,,,,,,,,3534 46th Ave NE,Seattle,,USA
242500,3,1.5,1200,9720,1,,,,,,,,14034 SE 201st St,Kent,,USA
419000,3,1.5,1570,6700,1,,,,,,,,15424 SE 9th St,Bellevue,,USA
367500,4,3,3110,7231,2,,,,,,,,11224 SE 306th Pl,Auburn,,USA
257950,3,1.75,1370,5858,1,,,,,,,,1605 S 245th Pl,Des Moines,,USA
275000,3,1.5,1180,10277,1,,,,,,,,12425 415th Ave SE,North Bend,,USA
750000,3,1.75,2240,10578,2,,,,,,,,3225 NE 92nd St,Seattle,,USA
435000,4,1,1450,8800,1,,,,,,,,3922 154th Ave SE,Bellevue,,USA
626000,3,2.25,1750,1572,2.5,,,,,,,,3140 Franklin Ave E,Seattle,,USA
612500,4,2.5,2730,12261,2,,,,,,,,10212 NE 156th Pl,Bothell,,USA
495000,4,1.75,1600,6380,1,,,,,,,,2021 NE 100th St,Seattle,,USA
285000,3,2.5,2090,10834,1,,,,,,,,27736 23rd Avenue South,Federal Way,,USA
615000,3,1.75,2360,7291,1,,,,,,,,8436-8438 41st Ave SW,Seattle,,USA
698000,4,2.25,2200,11250,1.5,,,,,,,,1036 4th St,Kirkland,,USA
675000,5,2.5,2820,67518,2,,,,,,,,23525 SE 32nd Way,Issaquah,,USA
790000,3,2.5,2600,4750,1,,,,,,,,3314 NW 75th St,Seattle,,USA
382500,4,1.75,1560,8700,1,,,,,,,,14104 119th Ave NE,Kirkland,,USA
499950,4,2.5,2860,3345,2,,,,,,,,20120 137th Ave NE,Woodinville,,USA
650000,4,2,1820,5000,1.5,,,,,,,,7201-7399 55th Ave NE,Seattle,,USA
625000,4,2.5,2820,8408,2,,,,,,,,17052 4th Ave NE,Shoreline,,USA
400000,4,2.5,3630,42884,1.5,,,,,,,,5172-5198 Heather Ave SE,Auburn,,USA
604000,3,2.5,3240,33151,2,,,,,,,,30822 36th Ct SW,Federal Way,,USA
440000,2,1,800,4850,1,,,,,,,,4801-4899 6th Ave NW,Seattle,,USA
287200,3,3,1850,19966,1,,,,,,,,23017 SE 281st Ct,Maple Valley,,USA
403000,3,2,1960,13100,1,,,,,,,,17825 4th Ave SW,Normandy Park,,USA
750000,3,2.5,2390,6550,1,,,,,,,,3628 59th Ave SW,Seattle,,USA
335000,3,2.25,1580,16215,1,,,,,,,,4460 332nd Ave SE,Fall City,,USA
260000,4,2,1480,8625,1,,,,,,,,2019 Aberdeen Pl SE,Renton,,USA
308500,2,1,850,6174,1,,,,,,,,121 NE 147th St,Shoreline,,USA
439950,3,2.5,1770,2875,2,,,,,,,,4458 51st Ave SW,Seattle,,USA
235000,2,1,1210,9400,1,,,,,,,,7542 21st Ave SW,Seattle,,USA
315000,3,1,1160,9180,1,,,,,,,,15804 198th Pl NE,Woodinville,,USA
437500,3,2.25,1970,35100,2,,,,,,,,26069 SE 154th St,Issaquah,,USA
407500,3,2.5,1930,10460,2,,,,,,,,4314 NE 6th Pl,Renton,,USA
445700,3,2.5,1270,1180,3,,,,,,,,2640 NW 56th St,Seattle,,USA
838000,4,2.5,3310,42998,2,,,,,,,,15712 NE 136th Pl,Redmond,,USA
630000,4,2.75,2710,37277,2,,,,,,,,26429 SE 154th Pl,Issaquah,,USA
550000,3,1.75,2910,35200,1.5,,,,,,,,3923 229th Pl SE,Sammamish,,USA
805000,3,2,2710,4500,1.5,,,,,,,,6222 30th Ave NE,Seattle,,USA
284000,3,1.75,1800,23103,1,,,,,,,,32418 NE 50th St,Carnation,,USA
470000,5,2.5,2210,9655,1,,,,,,,,19334 89th Ave NE,Bothell,,USA
430000,4,1.5,1920,10000,1,,,,,,,,4071 156th Ave SE,Bellevue,,USA
491500,4,1.75,2190,125452,1,,,,,,,,36850 204th Ave SE,Auburn,,USA
785000,5,3.25,3660,11995,2,,,,,,,,7425 Snowberry Ave SE,Snoqualmie,,USA
385000,3,3.25,1320,1327,2,,,,,,,,3400 21st Ave W,Seattle,,USA
295000,2,2.5,1630,1368,2,,,,,,,,5944-6082 Delridge Way SW,Seattle,,USA
555000,4,2.5,3310,6500,2,,,,,,,,35229 SE Terrace St,Snoqualmie,,USA
459990,3,2.5,2680,5539,2,,,,,,,,13800 453rd Ave SE,North Bend,,USA
625000,4,3.25,2730,54014,1,,,,,,,,9927 174th Ave SE,Renton,,USA
300000,3,2.5,2540,5050,2,,,,,,,,29734 215th Terrace SE,Kent,,USA
625000,4,2.75,2920,6605,2,,,,,,,,5608 NE 5th Cir,Renton,,USA
553000,2,1,900,5000,1,,,,,,,,8053 29th Ave NW,Seattle,,USA
379880,3,2.5,1650,14054,1,,,,,,,,13256 242nd Pl SE,Issaquah,,USA
310000,3,1,1010,9945,1,,,,,,,,7528 N Fork Rd SE,Snoqualmie,,USA
775000,2,2.5,2680,7392,1,,,,,,,,13134 234th Ct NE,Redmond,,USA
365000,3,2.5,2200,7350,1,,,,,,,,13420 SE 182nd St,Renton,,USA
331950,4,2.5,2530,9933,2,,,,,,,,925 48th Ct,Auburn,,USA
783500,3,2.5,2850,7130,2,,,,,,,,151 Euclid Ave,Seattle,,USA
628000,4,2,2280,6010,1,,,,,,,,205-206 Euclid Ave,Seattle,,USA
560000,3,2.5,1900,8744,2,,,,,,,,22314 NE 11th Pl,Sammamish,,USA
900000,3,1,1330,77972,1,,,,,,,,13615 NE 100th St,Kirkland,,USA
531000,2,3,1270,1175,2,,,,,,,,1411 N 48th St,Seattle,,USA
831000,4,3,2170,4000,2,,,,,,,,120 31st Ave E,Seattle,,USA
780000,4,2.5,2730,10281,2,,,,,,,,23140 NE 14th Ct,Sammamish,,USA
755000,4,2.5,2120,10202,1,,,,,,,,12645 SE 27th St,Bellevue,,USA
705380,3,2.5,2490,4343,2,,,,,,,,3187 NE Larkspur Ln,Issaquah,,USA
627000,4,2.25,1990,7712,1,,,,,,,,18915 SE 42nd Pl,Issaquah,,USA
865000,4,3,3690,9892,2,,,,,,,,1765 267th Ct SE,Sammamish,,USA
580000,2,1,2540,7000,1,,,,,,,,8624 Island Dr S,Seattle,,USA
410000,3,2.25,1800,36704,1,,,,,,,,24502 SE Mirrormont Dr,Issaquah,,USA
485000,4,3,2340,7048,1,,,,,,,,14319 85th Pl NE,Kirkland,,USA
400000,2,1.75,2110,9519,1,,,,,,,,2120 NE 168th St,Shoreline,,USA
549000,2,1,1140,5400,1,,,,,,,,209 30th Ave E,Seattle,,USA
620000,3,1.75,1480,2185,2.5,,,,,,,,10512 128th Ave NE,Kirkland,,USA
405000,2,3,1410,1240,2,,,,,,,,9126 45th Ave SW,Seattle,,USA
232000,2,1,1200,8063,1,,,,,,,,20220 8th Ave S,Des Moines,,USA
800866,5,2.5,3180,13806,2,,,,,,,,11821 NE 48th Pl,Kirkland,,USA
650000,3,1.5,2160,9000,1,,,,,,,,13026 10th Ave NW,Seattle,,USA
823000,6,1.75,2920,5000,2.5,,,,,,,,125 29th Ave,Seattle,,USA
770000,3,2,2350,5700,1.5,,,,,,,,2171 Boyer Ave E,Seattle,,USA
524000,3,1.75,1560,5520,1,,,,,,,,3434 33rd Ave W,Seattle,,USA
541125,5,2.75,2740,8426,1,,,,,,,,5211 116th Pl SE,Bellevue,,USA
670000,3,2.5,1680,2000,3,,,,,,,,3503 NE 44th St,Seattle,,USA
384900,5,2.5,3090,12750,1,,,,,,,,114 SW 292nd St,Federal Way,,USA
406100,3,2.25,1410,1332,3,,,,,,,,8536 Interlake Ave N,Seattle,,USA
